DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,1995,1719.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,1996,1687.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,1997,1679.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,1998,1728.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,1999,1742.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2000,1862.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2001,1831.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2002,1787.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2003,1921.8,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2004,2029.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2005,2021.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2006,1932.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2007,2185.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2008,2660.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2009,2058.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2010,1936.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2011,1977.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Defence,Total general government expenditure,Austria,2012,1914.0,,
