DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2013,82.4,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2014,85.2,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2015,85.6,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2016,83.4,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2017,79.1,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2018,74.6,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2019,71.0,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2020,83.2,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2021,82.4,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2022,78.1,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Austria,2023,77.8,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2013,105.1,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2014,106.6,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2015,105.7,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2016,105.8,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2017,102.6,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2018,100.2,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2019,97.7,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2020,111.4,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2021,108.7,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2022,103.4,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Belgium,2023,102.4,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Cyprus,2013,108.3,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Cyprus,2014,113.5,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Cyprus,2015,111.6,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Cyprus,2016,106.9,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Cyprus,2017,96.5,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Cyprus,2018,100.7,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Cyprus,2019,92.3,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Cyprus,2020,113.6,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Cyprus,2021,96.5,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Cyprus,2022,80.3,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Cyprus,2023,71.1,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Czechia,2013,44.1,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Czechia,2014,41.5,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Czechia,2015,39.5,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Czechia,2016,36.2,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Czechia,2017,33.8,,
ESTAT:TEINA225(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,Czechia,2018,31.7,,
