DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,1998,166.71,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,1999,159.56,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2000,150.40,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2001,156.78,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2002,151.30,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2003,153.23,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2004,147.87,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2005,146.78,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2006,141.19,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2007,132.92,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2008,129.74,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2009,127.41,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2010,131.89,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2011,122.51,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2012,117.43,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2013,117.36,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2014,111.20,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2015,109.58,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2016,107.58,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2017,106.98,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2018,100.23,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2019,99.80,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2020,96.92,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2021,95.01,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2022,81.42,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Austria,2023,75.97,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,1998,309.16,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,1999,291.45,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2000,273.73,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2001,261.62,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2002,247.95,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2003,253.35,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2004,246.79,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2005,234.99,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2006,226.19,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2007,216.55,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2008,219.20,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2009,205.96,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2010,207.74,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2011,186.84,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2012,173.29,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2013,177.29,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2014,162.67,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2015,159.32,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2016,165.70,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2017,162.80,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2018,157.41,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2019,151.77,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2020,139.79,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2021,143.14,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2022,120.21,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Belgium,2023,104.78,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Cyprus,1998,221.78,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Cyprus,1999,214.52,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Cyprus,2000,212.98,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Cyprus,2001,198.70,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Cyprus,2002,189.96,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Cyprus,2003,195.79,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Cyprus,2004,166.37,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Cyprus,2005,168.82,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Cyprus,2006,164.10,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Cyprus,2007,152.53,,
ESTAT:NRG_IND_EI(1.0),16/12/25 23:00:00,Annual,Energy intensity of GDP in purchasing power standards (PPS),Kilograms of oil equivalent (KGOE) per thousand euro in purchasing power standards (PPS),Cyprus,2008,149.25,,
