DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,1995,9.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,1996,9.5,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,1997,8.7,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,1998,8.6,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,1999,8.5,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2000,8.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2001,8.7,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2002,8.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2003,7.9,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2004,7.7,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2005,7.8,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2006,7.8,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2007,7.6,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2008,7.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2009,7.8,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2010,7.7,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2011,7.4,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2012,7.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2013,7.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2014,6.9,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2015,6.8,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2016,6.5,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2017,6.0,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2018,5.9,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2019,5.8,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2020,6.1,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2021,5.8,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2022,5.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2023,5.6,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Austria,2024,6.0,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,1995,13.7,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,1996,13.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,1997,12.6,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,1998,12.0,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,1999,11.6,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2000,11.4,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2001,11.0,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2002,10.5,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2003,10.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2004,9.5,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2005,9.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2006,8.6,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2007,8.7,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2008,8.7,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2009,9.1,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2010,8.7,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2011,8.8,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2012,8.8,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2013,8.6,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2014,8.5,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2015,8.1,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2016,8.0,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2017,7.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2018,7.2,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2019,6.9,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2020,7.5,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2021,7.0,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2022,6.5,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Belgium,2023,6.8,p,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,1995,12.2,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,1996,17.9,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,1997,10.1,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,1998,7.9,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,1999,8.6,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2000,10.8,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2001,8.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2002,6.9,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2003,4.0,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2004,5.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2005,6.0,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2006,4.5,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2007,7.3,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2008,5.0,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2009,7.1,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2010,3.8,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2011,3.9,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2012,3.4,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2013,3.7,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2014,3.9,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2015,3.8,,
ESTAT:GOV_10A_EXP(1.0),20/11/25 23:00:00,Annual,Percentage of gross domestic product (GDP),General government,General public services,Total general government expenditure,Bulgaria,2016,3.6,,
