"country","variable","status"
"Austria","Defence","OK"
"Belgium","Defence","OK"
"Bulgaria","Defence","OK"
"Croatia","Defence","OK"
"Cyprus","Defence","OK"
"Czechia","Defence","OK"
"Denmark","Defence","OK"
"EU-27","Defence","OK"
"Estonia","Defence","OK"
"Finland","Defence","OK"
"France","Defence","OK"
"Germany","Defence","OK"
"Greece","Defence","OK"
"Hungary","Defence","OK"
"Iceland","Defence","OK"
"Ireland","Defence","OK"
"Italy","Defence","OK"
"Latvia","Defence","OK"
"Lithuania","Defence","OK"
"Luxembourg","Defence","OK"
"Malta","Defence","OK"
"Netherlands","Defence","OK"
"Norway","Defence","OK"
"Poland","Defence","OK"
"Portugal","Defence","OK"
"Romania","Defence","OK"
"Slovakia","Defence","OK"
"Slovenia","Defence","OK"
"Spain","Defence","OK"
"Sweden","Defence","OK"
"Switzerland","Defence","OK"
