"country","variable","n","MAE","RMSE"
"Finland","new_env",4,0.00089204841718607,0.000938502368050563
"Denmark","new_env",4,0.0315650508290783,0.0332160195278392
"Iceland","new_env",4,0.0382913642790804,0.0413651840177086
"Lithuania","new_env",4,0.0308164430510731,0.0446517719135365
"Slovenia","new_env",4,0.0451346260744207,0.047259868832867
"Latvia","new_env",4,0.0293549440911995,0.050557497389107
"Slovakia","new_env",4,0.0330846137413836,0.0532544356089266
"Spain","new_env",4,0.0560844034820047,0.0580284152481564
"Romania","new_env",4,0.0357069623364751,0.0586866140743341
"Switzerland","new_env",4,0.051502357845812,0.0649261663271828
"Ireland","new_env",4,0.0458615801854602,0.0654410064943666
"Croatia","new_env",4,0.0583252248783971,0.0663787674644265
"Sweden","new_env",4,0.0719828169632966,0.0721018652420357
"Norway","new_env",4,0.0737370468930847,0.0841334310953554
"Italy","new_env",4,0.0788873704290188,0.0897905790485848
"Austria","new_env",4,0.0976677220133161,0.0977111592772681
"France","new_env",4,0.103272796314417,0.103275688793616
"EU-27","new_env",4,0.103022030227441,0.11119520167807
"Czechia","new_env",4,0.10899877562622,0.116753433571351
"Malta","new_env",4,0.119162612417993,0.119425160463725
"Hungary","new_env",4,0.100503462744728,0.123588179801885
"Luxembourg","new_env",4,0.107875600247168,0.12640867591642
"Bulgaria","new_env",4,0.13132590608355,0.135011049421324
"Estonia","new_env",4,0.128415773771622,0.143097363648995
"Portugal","new_env",4,0.135209979959149,0.144173456732193
"Belgium","new_env",4,0.129990566359237,0.147067926717974
"Poland","new_env",4,0.148279329267212,0.156405272971994
"Netherlands","new_env",4,0.172053358405868,0.180231961022529
"Germany","new_env",4,0.171452160063845,0.188002047618277
"Greece","new_env",4,0.376516765917962,0.444228119379657
