"country","variable","status"
"Austria","new_env","OK"
"Belgium","new_env","OK"
"Bulgaria","new_env","OK"
"Croatia","new_env","OK"
"Cyprus","new_env","FAIL: ARIMA fit error"
"Czechia","new_env","OK"
"Denmark","new_env","OK"
"EU-27","new_env","OK"
"Estonia","new_env","OK"
"Finland","new_env","OK"
"France","new_env","OK"
"Germany","new_env","OK"
"Greece","new_env","OK"
"Hungary","new_env","OK"
"Iceland","new_env","OK"
"Ireland","new_env","OK"
"Italy","new_env","OK"
"Latvia","new_env","OK"
"Lithuania","new_env","OK"
"Luxembourg","new_env","OK"
"Malta","new_env","OK"
"Netherlands","new_env","OK"
"Norway","new_env","OK"
"Poland","new_env","OK"
"Portugal","new_env","OK"
"Romania","new_env","OK"
"Slovakia","new_env","OK"
"Slovenia","new_env","OK"
"Spain","new_env","OK"
"Sweden","new_env","OK"
"Switzerland","new_env","OK"
